date,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Aggregate
1975-01-01,7.6,15.18,16.23,48.83,52.03,15.77,8.67,13.49,11.1,5.92,3.42,8.19,60.14,8.71,7.49,14.93,13.38,7.39,14.58,17.21,3.13,0,0,0,1.51,23.34
1975-04-01,7.75,15.93,16.46,48.19,52.67,16.19,9.71,13.65,11.5,6.03,3.65,8.06,60.31,9.24,8.19,15.8,13.48,7.42,15.06,17.45,3.19,0,0,0,1.52,23.62
1975-07-01,8.04,16.74,17.17,47.74,53.34,17,9.91,13.84,11.91,6.15,3.87,7.97,60.51,9.83,8.87,16.84,13.71,7.53,15.59,17.5,3.2,0,0,0,1.55,23.85
1975-10-01,8.29,17.65,17.41,47.15,54.06,17.13,10.65,14.2,12.39,6.25,4.08,7.91,60.74,10.43,9.53,18.01,14.16,7.68,16.16,17.84,3.27,0,0,0,1.59,24.19
1976-01-01,8.58,18.67,17.65,46.43,54.83,17.64,10.72,14.42,12.89,6.45,4.3,7.88,60.96,11.07,10.16,19,14.14,7.83,16.72,18.04,3.33,0,0,0,1.65,24.44
1976-04-01,8.84,19.65,18.19,46.1,55.68,17.7,12,14.48,13.34,6.58,4.51,7.89,61.36,11.72,10.78,21.34,14.76,8.01,17.34,18.74,3.41,0,0,0,1.71,25.01
1976-07-01,9.07,20.6,18.18,45.76,56.58,18.11,12.44,14.71,13.79,6.66,4.71,7.93,61.93,12.43,11.37,23.03,15.12,8.1,17.99,19.03,3.41,0,0,0,1.77,25.4
1976-10-01,9.25,21.54,18.07,46.03,57.56,18.97,12.45,14.87,14.33,6.81,4.91,8,62.52,13.16,11.94,24.41,15.73,8.22,18.71,19.27,3.4,0,0,0,1.83,25.79
1977-01-01,9.47,22.5,17.95,45.94,58.6,19.04,12.74,14.94,14.96,6.94,5.04,8.11,63.21,13.74,12.57,26.88,16.03,8.38,19.51,19.93,3.41,0,0,0,1.88,26.42
1977-04-01,9.67,23.48,18.13,46.26,59.71,20.07,12.15,15.09,15.42,7,5.26,8.26,63.91,14.57,13.07,31.08,16.24,8.6,20.21,20.82,3.46,0,0.01,0,1.93,27.09
1977-07-01,9.88,24.45,18.32,46.61,60.89,20.89,14.1,15.08,15.87,7.13,5.51,8.44,64.64,15.55,13.51,31.77,16.61,8.65,20.9,21.27,3.46,0,0.01,0,1.97,27.66
1977-10-01,10.03,25.39,19.21,46.63,62.15,22.08,14.06,15.15,16.38,7.39,5.78,8.65,65.41,16.6,13.9,31.9,16.98,8.62,21.59,22.12,3.48,0,0.01,0,2.02,28.33
1978-01-01,10.22,26.19,19.48,47,63.51,22.83,15.36,15.42,16.77,7.65,6.06,8.9,66.16,17.55,14.08,32.29,17.01,8.61,22.21,22.83,3.52,0,0.01,0,2.08,28.97
1978-04-01,10.38,26.93,19.93,47.83,64.85,23.56,16.82,15.62,17.21,7.96,6.39,9.18,67.09,18.85,14.42,34.63,16.95,8.71,22.84,23.69,3.53,0,0.01,0,2.14,29.77
1978-07-01,10.63,27.66,20.4,48.87,66.18,24.23,17.09,15.6,17.68,8.43,6.76,9.56,68.14,20.39,14.76,32.59,17.39,8.79,23.46,24.37,3.6,0,0.01,0,2.18,30.41
1978-10-01,10.8,28.35,20.62,49.9,67.54,24.6,16.72,15.74,18.27,9.07,7.15,9.77,69.37,22.09,15.1,32.16,17.56,8.88,24.1,25.07,3.73,0,0.01,0,2.25,31.09
1979-01-01,11.03,29.02,21.04,50.88,68.94,25.19,16.56,16.04,18.71,9.67,7.78,9.7,70.69,24.44,15.43,31.3,17.62,9.02,24.85,26.22,3.82,0,0.01,0,2.36,32.01
1979-04-01,11.22,29.64,21.87,51.74,70.14,26.13,17.56,16.25,19.34,10.33,8.16,10.04,72.42,26.26,15.78,31.86,17.78,9.18,25.33,27.04,3.95,0,0.02,0,2.47,32.88
1979-07-01,12.06,30.13,22.86,53.06,71.15,26.61,17.33,16.6,20.07,11.01,8.5,10.67,74.53,28.15,16.13,31.47,17.96,9.28,25.73,27.6,4.11,0,0.02,0,2.59,33.68
1979-10-01,12.82,30.45,23.89,54.46,71.96,26.71,17.37,17.07,20.99,11.81,8.8,11.33,76.83,29.99,16.49,30.21,18.3,9.38,26.05,28.16,4.27,0,0.03,0,2.73,34.48
1980-01-01,13.64,30.52,25.02,56.14,72.48,26.23,17.77,17.84,22.49,12.44,8.79,12.07,79.46,31.77,16.98,29.48,18.81,9.56,26.15,28.68,4.43,0,0.03,0,2.88,35.42
1980-04-01,14.32,30.25,26.39,57.08,73.35,25.22,18.18,18.47,23.34,12.83,9.1,12.91,82.03,33.54,17.29,29.56,19.52,9.91,26.25,29.09,4.73,0,0.04,0,3.05,36.24
1980-07-01,14.75,29.77,27.66,58.17,74.53,25.74,20.37,19.1,24.09,13.2,9.46,13.61,84.71,35.42,17.55,27.96,20.03,10.24,26.33,29.88,5.17,0,0.04,0,3.18,37.25
1980-10-01,14.93,29.23,29.79,59.07,76.02,25.92,21.61,19.58,24.88,13.31,9.89,15.08,87.18,37.26,17.77,27.49,20.69,10.55,26.36,29.98,5.65,0,0.05,0,3.45,38.08
1981-01-01,16.15,28.76,33.57,61.02,77.9,25.75,21.03,20.45,25.57,13.52,10.69,17.62,89.47,40.1,18.01,27.27,21.1,10.95,26.05,30.17,6.14,0,0.06,0,3.92,39.21
1981-04-01,16.64,28.4,36.81,62.9,79.42,24.51,21.88,21.1,26.09,13.76,11.11,19.09,91.74,41.48,18.1,26.45,21.54,11.95,25.97,30.76,6.66,0,0.08,0,4.16,40.2
1981-07-01,16.39,28.08,40.74,64.09,80.67,23.71,23.1,21.89,26.53,13.83,11.47,19.8,93.97,42.58,18.11,25.58,21.97,12.86,25.98,31.14,7.19,0,0.1,0,4.16,41.04
1981-10-01,17.11,27.79,39.22,65.13,81.68,24.28,23.73,22.69,27.03,13.65,11.75,20.64,96.04,43.22,18.03,23.72,22.37,13.88,26.06,30.81,7.63,0,0.12,0,4.41,41.36
1982-01-01,16.98,27.51,38.52,66.13,82.48,24.07,21.54,24.03,27.31,13.5,11.81,21.4,97.98,41.1,17.56,22.77,23.02,15.01,26.23,30.47,7.94,0,0.16,0,4.88,41.73
1982-04-01,17.42,27.35,37.81,66.21,83.07,24.07,19.24,24.98,27.61,13.96,12.02,22.06,99.75,41.82,17.46,22.9,23.62,16.35,26.24,31.16,8.2,0,0.19,0,5.18,42.3
1982-07-01,17.2,27.3,36.19,66.5,83.45,23.6,18.68,25.88,27.89,14.15,12.24,22.73,101.35,43.21,17.4,23.46,24.08,16.72,26.28,30.64,8.43,0,0.23,0,5.4,42.42
1982-10-01,17.18,27.21,33.95,67.12,83.61,24.28,16.8,27.17,28.32,14.46,12.46,23.04,102.78,45.1,17.38,22.55,24.33,17.07,26.35,32.02,8.66,0,0.29,0,5.61,43.05
1983-01-01,17.58,27.06,34.18,67.8,83.55,26.35,18.05,28.95,28.8,15.08,12.72,22.85,104.03,50.15,17.41,22.55,25.21,17.25,26.13,32.83,9.17,0,0.34,0,5.79,43.76
1983-04-01,18.21,26.93,34.58,68.68,83.38,29.42,17.37,30.12,29.06,15.47,12.92,23.05,105.16,51.99,17.49,23.68,25.39,17.65,26.15,33.19,9.74,0,0.44,0,5.95,44.18
